subgroup_category,subgroup_label,n_pairs,n_full_window_15,att_15,se_15,ci_lower_15,ci_upper_15,p_value_15,att_30,significant_05,insufficient
GAME STATE,Losing,7771,3950,-0.05291139240506329,0.014575729682742433,-0.08147982258323846,-0.024342962226888122,0.0002868998303898922,-0.04113110539845758,True,False
GAME STATE,Level,5646,2599,0.02116198537899192,0.016614265464929723,-0.011401974932270336,0.05372594569025417,0.20287525686941946,0.0851063829787234,False,False
GAME STATE,Winning,7345,2521,0.009520031733439112,0.01765309437109585,-0.025080033233908748,0.044120096700786975,0.589738533524836,0.05343511450381679,False,False
TIMING,Early sub < 74,9809,8199,-0.0119526771557507,0.009864656914991249,-0.03128740470913355,0.007382050397632145,0.22567488017794113,0.014608233731739707,False,False
TIMING,Late sub ≥ 74,10953,871,-0.03673938002296211,0.028761015898683573,-0.09311097118438191,0.019632211138457686,0.20180112627389152,0.0,False,False
DIRECTION,Offensive,5103,2391,-0.034713508992053534,0.01840675620178118,-0.07079075114754464,0.0013637331634375749,0.05942807633452645,0.013888888888888888,False,False
DIRECTION,Defensive,3900,1424,-0.03300561797752809,0.023441082782659585,-0.07895014023154087,0.012938904276484697,0.159342248603986,-0.07407407407407407,False,False
DIRECTION,Neutral,11759,5255,0.0,0.012209736420180951,-0.023931083383554663,0.023931083383554663,1.0,0.037122969837587005,False,False
LEAGUE,Premier League,4177,1611,-0.024829298572315334,0.02416832691720949,-0.07219921933004593,0.022540622185415263,0.30441063129364315,0.25,False,False
LEAGUE,La Liga,4264,1998,-0.03803803803803804,0.019175400012710127,-0.07562182206294989,-0.00045425401312619573,0.04742720942156181,-0.17592592592592593,True,False
LEAGUE,Bundesliga,3736,1574,-0.01397712833545108,0.023691504013347218,-0.06041247620161163,0.032458219530709466,0.5552996930124424,0.050505050505050504,False,False
LEAGUE,Serie A,4723,2237,0.02637460885113992,0.017814773345048367,-0.008542346905154877,0.06129156460743472,0.1388831859457315,0.1267605633802817,False,False
LEAGUE,Ligue 1,3862,1650,-0.03090909090909091,0.02103085691628431,-0.07212957046500816,0.010311388646826337,0.14183325750468975,-0.16842105263157894,False,False
